   Compiling gp v0.1.0 (/home/chris/projects/rust/gp)
    Finished release [optimized] target(s) in 1.82s
     Running `target/release/gp`
CURRENT NUM THREADS= 8
Run #1
num hits=40
   gen tfid tcid   hits      r      s        a        n      nfr avgRawF
                        (NOT
                          (AND
                            (OR GONE
                              (IF E E GONE))
                            (NOT
                              (IF GOE E GOE)))))
                      (HOMING
                        (IF GOS GOSW GOW)))
                    (AND
                      (OR
                        (AND
                          (OR GONE GONE) I)
                        (IF GON E GONE))
                      (IF X E E))))
                (AND L
                  (OR GOSW X))))
            (AND
              (OR
                (AND N GON)
                (IF E E GONE))
              (NOT
                (IF GOE E GOE))))))))
  (IF
    (IF
      (NOT
        (OR W
          (AND
            (OR GONE GONW)
            (NOT GOW))))
      (AND
        (AND N GON)
        (AND N N))
      (NOT
        (NOT GOE)))
    (NOT
      (NOT
        (AND NIL S)))
    (NOT
      (IF
        (HOMING W)
        (AND N GON)
        (OR S GOSW))))
)
Have Winner
Win has reached max of 1 runs ending.
